regiao;porte;data;casos;obitos;populacao_porte;incidencia;mortalidade;casos_media7;obitos_media7;incidencia_media7;mortalidade_media7
Sudeste;Acima de 100 mil;2020-02-25;1;0;62745658;0,00159373577690428;0,00000000000000000;NA;NA;NA;NA
Sudeste;Acima de 100 mil;2020-02-26;0;0;62745658;0,00000000000000000;0,00000000000000000;NA;NA;NA;NA
Sudeste;Acima de 100 mil;2020-02-27;0;0;62745658;0,00000000000000000;0,00000000000000000;NA;NA;NA;NA
Sudeste;Acima de 100 mil;2020-02-28;1;0;62745658;0,00159373577690428;0,00000000000000000;NA;NA;NA;NA
Sudeste;Acima de 100 mil;2020-02-29;0;0;62745658;0,00000000000000000;0,00000000000000000;NA;NA;NA;NA
Sudeste;Acima de 100 mil;2020-03-01;0;0;62745658;0,00000000000000000;0,00000000000000000;NA;NA;NA;NA
Sudeste;Acima de 100 mil;2020-03-02;0;0;62745658;0,00000000000000000;0,00000000000000000;2,85714285714286e-01;0,000000000000000;4,55353079115507e-04;0,00000000000000e+00
Sudeste;Acima de 100 mil;2020-03-03;0;0;62745658;0,00000000000000000;0,00000000000000000;1,42857142857143e-01;0,000000000000000;2,27676539557754e-04;0,00000000000000e+00
Sudeste;Acima de 100 mil;2020-03-04;1;0;62745658;0,00159373577690428;0,00000000000000000;2,85714285714286e-01;0,000000000000000;4,55353079115507e-04;0,00000000000000e+00
Sudeste;Acima de 100 mil;2020-03-05;4;0;62745658;0,00637494310761710;0,00000000000000000;8,57142857142857e-01;0,000000000000000;1,36605923734652e-03;0,00000000000000e+00
Nordeste;Acima de 100 mil;2020-03-06;1;0;23710294;0,00421757739486486;0,00000000000000000;NA;NA;NA;NA
Sudeste;Acima de 100 mil;2020-03-06;1;0;62745658;0,00159373577690428;0,00000000000000000;8,57142857142857e-01;0,000000000000000;1,36605923734652e-03;0,00000000000000e+00
Centro-Oeste;Acima de 100 mil;2020-03-07;1;0;9844591;0,01015786232256881;0,00000000000000000;NA;NA;NA;NA
Nordeste;Acima de 100 mil;2020-03-07;1;0;23710294;0,00421757739486486;0,00000000000000000;NA;NA;NA;NA
Sudeste;Acima de 100 mil;2020-03-07;7;0;62745658;0,01115615043832993;0,00000000000000000;1,85714285714286e+00;0,000000000000000;2,95979501425080e-03;0,00000000000000e+00
Centro-Oeste;Acima de 100 mil;2020-03-08;0;0;9844591;0,00000000000000000;0,00000000000000000;NA;NA;NA;NA
Nordeste;Acima de 100 mil;2020-03-08;1;0;23710294;0,00421757739486486;0,00000000000000000;NA;NA;NA;NA
Sudeste;Acima de 100 mil;2020-03-08;5;0;62745658;0,00796867888452138;0,00000000000000000;2,57142857142857e+00;0,000000000000000;4,09817771203957e-03;0,00000000000000e+00
Centro-Oeste;Acima de 100 mil;2020-03-09;0;0;9844591;0,00000000000000000;0,00000000000000000;NA;NA;NA;NA
