"data";"tipo_teste";"testes_negativos";"testes_positivos";"testes_inconclusivos"
2020-03-15;"Enzimaimunoensaio - ELISA IgM";0;1;0
2020-03-15;"RT-PCR";225;195;225
2020-03-15;"TESTE RÁPIDO - ANTICORPO";19;6;19
2020-03-16;"RT-PCR";607;273;607
2020-03-16;"TESTE RÁPIDO - ANTICORPO";46;12;46
2020-03-16;"TESTE RÁPIDO - ANTÍGENO";3;1;3
2020-03-17;"Enzimaimunoensaio - ELISA IgM";1;0;1
2020-03-17;"RT-PCR";610;387;610
2020-03-17;"TESTE RÁPIDO - ANTICORPO";44;57;44
2020-03-17;"TESTE RÁPIDO - ANTÍGENO";2;1;2
2020-03-18;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;2;0
2020-03-18;"RT-PCR";597;330;597
2020-03-18;"TESTE RÁPIDO - ANTICORPO";154;7;154
2020-03-18;"TESTE RÁPIDO - ANTÍGENO";1;0;1
2020-03-19;"Quimioluminescência - CLIA";0;1;0
2020-03-19;"RT-PCR";611;391;611
2020-03-19;"TESTE RÁPIDO - ANTICORPO";77;13;77
2020-03-20;"Enzimaimunoensaio  ELISA";1;0;1
2020-03-20;"RT-PCR";792;448;792
2020-03-20;"TESTE RÁPIDO - ANTICORPO";168;21;168
2020-03-20;"TESTE RÁPIDO - ANTÍGENO";4;3;4
2020-03-21;"Enzimaimunoensaio - ELISA IgM";0;1;0
2020-03-21;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;1;0
2020-03-21;"RT-PCR";386;250;386
2020-03-21;"TESTE RÁPIDO - ANTICORPO";83;12;83
2020-03-21;"TESTE RÁPIDO - ANTÍGENO";1;1;1
2020-03-22;"RT-PCR";458;285;458
2020-03-22;"TESTE RÁPIDO - ANTICORPO";91;13;91
2020-03-22;"TESTE RÁPIDO - ANTÍGENO";6;0;6
2020-03-23;"Enzimaimunoensaio - ELISA IgM";1;0;1
2020-03-23;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;1;1
2020-03-23;"RT-PCR";978;539;978
2020-03-23;"TESTE RÁPIDO - ANTICORPO";219;31;219
2020-03-23;"TESTE RÁPIDO - ANTÍGENO";12;1;12
2020-03-24;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;0;1
2020-03-24;"RT-PCR";1814;542;1814
2020-03-24;"TESTE RÁPIDO - ANTICORPO";314;25;314
2020-03-24;"TESTE RÁPIDO - ANTÍGENO";11;2;11
2020-03-25;"Enzimaimunoensaio - ELISA IgM";1;1;1
2020-03-25;"Quimioluminescência - CLIA";3;0;3
2020-03-25;"RT-PCR";1069;556;1069
2020-03-25;"TESTE RÁPIDO - ANTICORPO";382;44;382
2020-03-25;"TESTE RÁPIDO - ANTÍGENO";14;2;14
2020-03-26;"Quimioluminescência - CLIA";2;0;2
2020-03-26;"RT-PCR";1032;529;1032
