semana_epi;tipo_teste;uf;ultimo_dia_semana;testes_positivos;testes_negativos;testes_inconclusivos;testes_total;testes_com_resultado;testes_taxa_positivo;casos_confirmados
11;RT-PCR;AL;2020-03-14;3;5;0;8;8;0,37500000000000000;3
11;RT-PCR;AM;2020-03-14;3;11;0;14;14;0,21428571428571427;3
11;RT-PCR;AP;2020-03-14;0;1;0;1;1;0,00000000000000000;0
11;RT-PCR;BA;2020-03-14;13;34;0;47;47;0,27659574468085107;13
11;RT-PCR;CE;2020-03-14;0;1;0;1;1;0,00000000000000000;0
11;RT-PCR;DF;2020-03-14;26;35;0;61;61;0,42622950819672129;26
11;RT-PCR;GO;2020-03-14;36;60;0;97;96;0,37500000000000000;37
11;RT-PCR;MA;2020-03-14;1;0;0;1;1;1,00000000000000000;1
11;RT-PCR;MG;2020-03-14;25;148;0;183;173;0,14450867052023122;27
11;RT-PCR;MT;2020-03-14;0;2;0;2;2;0,00000000000000000;0
11;RT-PCR;PA;2020-03-14;1;15;0;17;16;0,06250000000000000;1
11;RT-PCR;PB;2020-03-14;0;9;0;9;9;0,00000000000000000;1
11;RT-PCR;PE;2020-03-14;6;6;0;13;12;0,50000000000000000;6
11;RT-PCR;PI;2020-03-14;0;6;0;6;6;0,00000000000000000;2
11;RT-PCR;PR;2020-03-14;17;8;0;25;25;0,68000000000000005;17
11;RT-PCR;RJ;2020-03-14;6;41;0;49;47;0,12765957446808510;6
11;RT-PCR;RN;2020-03-14;1;12;0;13;13;0,07692307692307693;1
11;RT-PCR;RO;2020-03-14;0;1;0;1;1;0,00000000000000000;0
11;RT-PCR;RS;2020-03-14;6;11;0;17;17;0,35294117647058826;6
11;RT-PCR;SC;2020-03-14;90;537;0;627;627;0,14354066985645933;95
11;RT-PCR;SE;2020-03-14;0;1;0;1;1;0,00000000000000000;0
11;RT-PCR;SP;2020-03-14;20;206;0;226;226;0,08849557522123894;36
11;RT-PCR;TO;2020-03-14;1;5;0;6;6;0,16666666666666666;1
11;Teste rápido;AM;2020-03-14;1;2;0;3;3;0,33333333333333331;1
11;Teste rápido;AP;2020-03-14;2;2;0;4;4;0,50000000000000000;2
11;Teste rápido;BA;2020-03-14;1;6;0;7;7;0,14285714285714285;1
11;Teste rápido;CE;2020-03-14;2;2;0;4;4;0,50000000000000000;2
